price,part number,brand,model,benchmark,number of sticks,memory of each stick,memory,value
88.95,cmk32gx4m2e3200c16,Corsair,Vengeance LPX DDR4 3200 C16 2x16GB,86.2,2.0,16.0,32.0,0.37
54.95,cmk16gx4m2e3200c16,Corsair,Vengeance LPX DDR4 3200 C16 2x8GB,85.6,2.0,8.0,16.0,0.296
95.95,cmk32gx4m2a2666c16,Corsair,Vengeance LPX DDR4 2666 C16 2x16GB,75.8,2.0,16.0,32.0,0.3
54.5,cmk16gx4m2a2133c13,Corsair,Vengeance LPX DDR4 2133 C13 2x8GB,69.2,2.0,8.0,16.0,0.24
12.25,f4-2133c15s-4gnt,G.SKILL,Value DDR4 2133 C15 1x4GB,37.6,1.0,4.0,4.0,0.143
168.95,f4-3200c16d-16gvkb,G.SKILL,Ripjaws V DDR4 3200 C16 2x8GB,84.0,2.0,8.0,16.0,0.091
67.95,cmk16gx4m2a2666c16,Corsair,Vengeance LPX DDR4 2666 C16 2x8GB,76.7,2.0,8.0,16.0,0.213
57.95,cmk16gx4m2b3000c15,Corsair,Vengeance LPX DDR4 3000 C15 2x8GB,81.9,2.0,8.0,16.0,0.268
117.95,cmk8gx4m1a2400c14,Corsair,Vengeance LPX DDR4 2400 C14 1x8GB,38.7,1.0,8.0,8.0,0.027
13.75,f4-2400c15d-16gvr,G.SKILL,Ripjaws V DDR4 2400 C15 2x8GB,71.5,2.0,8.0,16.0,1.0
57.5,cmk16gx4m2d3600c18,Corsair,Vengeance LPX DDR4 3600 C18 2x8GB,89.4,2.0,8.0,16.0,0.296
74.95,f4-2133c15d-8gvr,G.SKILL,Ripjaws V DDR4 2133 C15 2x4GB,68.5,2.0,4.0,8.0,0.083
86.5,cmk32gx4m2a2400c16,Corsair,Vengeance LPX DDR4 2400 C16 2x16GB,76.7,2.0,16.0,32.0,0.338
104.95,f4-3200c14d-16gfx,G.SKILL,Flare X DDR4 3200 C14 2x8GB,97.8,2.0,8.0,16.0,0.175
143.95,cmk8gx4m2a2400c16,Corsair,Vengeance LPX DDR4 2400 C16 2x4GB,76.5,2.0,4.0,8.0,0.046
209.95,cmk8gx4m1a2400c16,Corsair,Vengeance LPX DDR4 2400 C16 1x8GB,41.6,1.0,8.0,8.0,0.014
233.95,f4-3200c16d-16gtzb,G.SKILL,Trident Z DDR4 3200 C16 2x8GB,85.4,2.0,8.0,16.0,0.066
81.95,ct4g4dfs824a,Crucial,UDIMM DDR4 2400 C17 1x4GB,38.7,1.0,4.0,4.0,0.018
223.95,cmk16gx4m2a2400c16,Corsair,Vengeance LPX DDR4 2400 C16 2x8GB,75.8,2.0,8.0,16.0,0.06
361.95,cmv4gx4m1a2133c15,Corsair,ValueSelect DDR4 2133 C15 1x4GB,37.3,1.0,4.0,4.0,0.0
350.95,ct16g4dfd824a,Crucial,UDIMM DDR4 2400 C16 1x16GB,41.5,1.0,16.0,16.0,0.018
220.95,cmw16gx4m2c3000c15,Corsair,Vengeance RGB PRO DDR4 3200 C15 2x8GB,80.5,2.0,8.0,16.0,0.065
109.95,f4-3200c16d-16gtzr,G.SKILL,Trident Z RGB DDR4 3200 C16 2x8GB,84.3,2.0,8.0,16.0,0.143
235.95,cmk16gx4m2a2400c14,Corsair,Vengeance LPX DDR4 2400 C14 2x8GB,72.6,2.0,8.0,16.0,0.054
92.95,cmk8gx4m2a2400c14,Corsair,Vengeance LPX DDR4 2400 C14 2x4GB,71.1,2.0,4.0,8.0,0.069
332.95,cmk4gx4m1a2400c14,Corsair,Vengeance LPX DDR4 2400 C14 1x4GB,38.7,1.0,4.0,4.0,0.001
42.75,f4-2400c15d-8gvr,G.SKILL,Ripjaws V DDR4 2400 C15 2x4GB,72.1,2.0,4.0,8.0,0.158
217.95,f4-3000c16d-16gtzr,G.SKILL,Trident Z RGB DDR4 3000 C16 2x8GB,80.8,2.0,8.0,16.0,0.067
190.95,cmk8gx4m1a2400c16r,Corsair,Vengeance LPX DDR4 2400 C16 1x8GB,41.6,1.0,8.0,8.0,0.016
