price,brand,memory,model,benchmark,value
67.5,samsung,1024,980,260.0,0.479
114.95,samsung,2048,970 evo plus,342.0,0.765
114.95,samsung,2048,970 evo plus,342.0,0.765
151.95,samsung,2048,980 pro,432.0,0.729
185.95,samsung,2048,980 pro,432.0,0.587
67.5,samsung,1024,870 qvo,94.6,0.144
67.5,samsung,1024,870 qvo,94.6,0.144
51.5,samsung,500,870 evo,104.0,0.087
134.95,samsung,2048,870 evo,115.0,0.185
24.5,kingston,240,a400,65.8,0.039
67.5,samsung,1024,970 evo plus,310.0,0.58
67.5,samsung,1024,970 evo plus,310.0,0.58
71.5,samsung,1024,870 evo,112.0,0.167
126.95,samsung,2048,870 qvo,102.0,0.172
126.95,samsung,2048,870 qvo,102.0,0.172
96.95,samsung,1024,980 pro,386.0,0.496
105.95,samsung,1024,980 pro,386.0,0.45
51.5,samsung,500,970 evo plus,276.0,0.31
51.5,samsung,500,970 evo plus,276.0,0.31
29.95,crucial,240,bx500,56.0,0.013
127.95,samsung,1024,990 pro,433.0,0.415
143.95,samsung,1024,990 pro,433.0,0.364
51.5,crucial,500,mx500,106.0,0.09
52.95,samsung,500,980,226.0,0.237
235.95,samsung,4096,870 evo,118.0,0.226
37.95,kingston,480,a400,74.3,0.078
20.75,kingston,120,a400,61.3,0.0
76.5,crucial,1024,mx500,106.0,0.142
236.95,wd,2048,black sn850x,515.0,0.546
219.95,wd,2048,black sn850x,515.0,0.592
135.95,crucial,2048,mx500,108.0,0.17
185.95,samsung,2048,990 pro,492.0,0.675
253.95,samsung,2048,990 pro,492.0,0.482
472.95,samsung,8192,870 qvo,104.0,0.193
472.95,samsung,8192,870 qvo,104.0,0.193
255.95,samsung,4096,870 qvo,105.0,0.177
255.95,samsung,4096,870 qvo,105.0,0.177
42.75,samsung,250,870 evo,103.0,0.033
84.5,intel,2048,670p,324.0,1.0
81.5,samsung,500,980 pro,341.0,0.232
118.95,wd,1024,black sn850x,466.0,0.488
102.95,wd,1024,black sn850x,466.0,0.571
93.5,crucial,1024,p5 plus,391.0,0.524
42.75,samsung,250,970 evo plus,234.0,0.135
42.75,samsung,250,970 evo plus,234.0,0.135
64.5,crucial,500,p5 plus,351.0,0.316
42.75,crucial,250,mx500,101.0,0.031
58.95,intel,1024,660p,191.0,0.395
498.95,wd,4096,black sn850x,538.0,0.542
152.95,crucial,2048,p5 plus,450.0,0.756
46.25,samsung,250,980,196.0,0.094
153.95,wd,2048,blue,96.9,0.125
159.95,wd,2048,blue,96.9,0.118
54.5,wd,250,black sn770,316.0,0.146
254.95,crucial,4096,mx500,99.5,0.166
78.5,wd,500,black sn750 se,230.0,0.148
94.5,wd,500,black sn850,379.0,0.22
80.5,wd,500,black sn850,379.0,0.267
46.5,wd,250,blue,86.0,0.014
46.5,wd,250,blue,79.5,0.01
