name,model,capacity,price
Western Digital SSD WD Red SA500 1 To,WDS100T1R0A,1To,120
Western Digital SSD NVMe WD Gold 960 Go,WDS960G1D0D,960Go,255
Western Digital SSD WD Black SN850X 1 To,WDS100T2XHE,1To,128
Seagate SSD IronWolf 125 1 To,ZA1000NM1A002,1To,165
Seagate SSD FireCuda 530 Heatsink 1 To,ZP1000GM3A023,1To,129
Samsung SSD 990 PRO M.2 PCIe NVMe 1 To,MZ-V9P1T0BW,1To,160
Samsung SSD 980 PRO M.2 PCIe NVMe 1 To,MZ-V8P1T0BW,1To,120
Kingston KC600 1 To,SKC600/1024G,1024Go,120
Kingston FURY Renegade 1 To avec dissipateur thermique,SFYRSK/1000G,1To,121
Kingston DC500R 960 Go,SEDC500R/960G,960Go,207
Kingston DC500R 480 Go,SEDC500R/480G,480Go,120
Kingston DC450R 960 Go,SEDC450R/960G,960Go,129
Kingston DC1500M 960 Go,SEDC1500M/960G,960Go,255
Corsair Force MP600 PRO XT 1 To,CSSD-F1000GBMP600PXT,1To,128
Corsair Force MP600 PRO LPX 1 To,CSSD-F1000GBMP600PLP,1To,173
Corsair Force MP510 V2 960 Go,CSSD-F960GBMP510B,960Go,137
